date,state,daily
7/24/21,Sarawak,47544
7/24/21,Selangor,117563
7/24/21,Terengganu,8805
7/24/21,W.P. Kuala Lumpur,74113
7/24/21,W.P. Labuan,1335
7/24/21,W.P. Putrajaya,3030
7/25/21,Johor,37227
7/25/21,Kedah,20912
7/25/21,Kelantan,18499
7/25/21,Melaka,1969
7/25/21,Negeri Sembilan,12820
7/25/21,Pahang,9785
7/25/21,Perak,25746
7/25/21,Perlis,2423
7/25/21,Pulau Pinang,23358
7/25/21,Sabah,27462
7/25/21,Sarawak,33487
7/25/21,Selangor,109668
7/25/21,Terengganu,13151
7/25/21,W.P. Kuala Lumpur,73299
7/25/21,W.P. Labuan,1418
7/25/21,W.P. Putrajaya,2695
7/26/21,Johor,46198
7/26/21,Kedah,25292
7/26/21,Kelantan,23624
7/26/21,Melaka,15085
7/26/21,Negeri Sembilan,23664
7/26/21,Pahang,24670
7/26/21,Perak,32537
