date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
6/15/21,Pahang,6150,1649,7799,0,0,157414,98154,255568,0,0,5359,1558,714,91,77,0,0,0
6/15/21,Perak,6247,4188,10435,0,0,248453,139973,388426,2,0,5375,729,868,3458,4,0,0,1
6/15/21,Perlis,1844,1394,3238,0,0,46991,24989,71980,0,0,1752,961,92,433,0,0,0,0
6/15/21,Pulau Pinang,8457,1871,10328,0,0,171571,82276,253847,0,0,4797,914,676,957,2984,0,0,0
6/15/21,Sabah,12878,4270,17148,0,0,271637,118074,389711,6,0,9528,2876,3330,1394,0,0,0,20
6/15/21,Sarawak,39035,8642,47677,1,0,405952,174059,580011,5,0,1020,1393,34610,7249,3400,0,0,5
6/15/21,Selangor,28111,6844,34955,0,0,513828,185500,699328,1,0,5277,5717,17733,1127,5101,0,0,0
6/15/21,Terengganu,4099,2218,6317,0,0,108436,66281,174717,0,1,2662,201,1413,2017,24,0,0,0
6/15/21,W.P. Kuala Lumpur,24140,4744,28884,1,0,606430,135196,741626,5,0,2646,1887,11636,2857,9858,0,0,0
6/15/21,W.P. Labuan,940,12,952,0,0,20330,13365,33695,0,0,401,5,539,7,0,0,0,0
